bowling_id,match_code,team_name,player_name,overs,runs_conceded,wickets,economy
143,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Costa Rica,devjani mutreja,4.0,17,0,4.2
144,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Costa Rica,dhananjaya panda,2.0,12,2,6.0
145,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Costa Rica,jayanth byrappa,2.0,3,2,1.5
146,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Costa Rica,kashigoud patil,2.0,9,0,4.5
147,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Mexico,seetharam guruvayoorappan,0.0,0,0,0.0
148,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Mexico,shantanu kaveri,0.0,0,0,0.0
149,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Mexico,amir butt,0.0,0,0,0.0
150,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Mexico,gutierrez chavez,0.0,0,0,0.0
151,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Costa Rica,tv badri narayanan,0.0,0,0,0.0
152,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Costa Rica,kumar shivam,0.0,0,0,0.0
153,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Costa Rica,ashar abbas,0.0,0,0,0.0
154,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Costa Rica,yeudy altamirano,0.0,0,0,0.0
155,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Mexico,riquelmi nascimento,4.0,31,1,7.8
156,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Mexico,luiz morais,4.0,19,0,4.8
157,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Mexico,luiz goncalves,2.0,18,0,9.0
158,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Mexico,yasar haroon,4.0,35,1,8.8
159,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Mexico,luiz moras,4.0,19,2,4.8
160,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Mexico,luiz muller,2.0,16,1,8.0
161,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Brazil,pratik singh bais,4.0,23,1,5.8
162,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Brazil,matthew noble,2.0,16,0,8.0
163,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Brazil,dhananjaya panda,4.0,15,0,3.8
164,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Brazil,amir butt,4.0,32,2,8.0
165,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Brazil,gurpreet singh,2.0,19,0,9.5
166,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Brazil,devjani mutreja,4.0,23,1,5.8
167,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Mexico,jayanth byrappa,0.0,0,0,0.0
168,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Mexico,shantanu kaveri,0.0,0,0,0.0
